uid,locno,DAYNO,stime,etime,X_PUBLIC,Y_PUBLIC
313,4000436_1,20002121,2,1170419400,1170420300,-87.66,41.95
314,4000436_1,20002134,2,1170420900,1170424500,-87.64,41.93
315,4000436_1,94000436,2,1170425100,1170385140,-87.63,41.93
316,4000436_2,94000436,1,1170298800,1170322200,-87.63,41.93
317,4000436_2,20001858,1,1170323100,1170330900,-87.64,41.95
318,4000436_2,20001909,1,1170332100,1170344700,-87.65,41.95
319,4000436_2,94000436,1,1170345300,1170298740,-87.63,41.93
320,4000436_2,94000436,2,1170385200,1170385140,-87.63,41.93
321,4000437_1,94000437,1,1170298800,1170298740,-88.28,42.2
322,4000437_1,94000437,2,1170385200,1170385140,-88.28,42.2
323,4000447_1,94000447,1,1170298800,1170312720,-88.19,41.82
324,4000447_1,10003114,1,1170313200,1170315180,-88.19,41.82
325,4000447_1,10009538,1,1170316380,1170322500,-88.12,41.88
326,4000447_1,10003137,1,1170322740,1170323040,-88.12,41.88
327,4000447_1,10003154,1,1170323340,1170323640,NA,NA
328,4000447_1,10003103,1,1170324060,1170324120,-88.12,41.86
329,4000447_1,10003162,1,1170324240,1170324600,-88.12,41.86
330,4000447_1,10003241,1,1170324840,1170325140,-88.11,41.86
331,4000447_1,10009538,1,1170325440,1170325800,-88.12,41.88
332,4000447_1,10003107,1,1170326100,1170326700,-88.09,41.87
333,4000447_1,10003116,1,1170326880,1170327180,NA,NA
334,4000447_1,10003219,1,1170327480,1170328020,-88.09,41.86
335,4000447_1,10009538,1,1170328800,1170333600,-88.12,41.88
336,4000447_1,10003154,1,1170334260,1170334740,NA,NA
337,4000447_1,10003137,1,1170335100,1170335340,-88.12,41.88
338,4000447_1,10003107,1,1170335640,1170336480,-88.09,41.87
339,4000447_1,10003116,1,1170336660,1170336900,NA,NA
340,4000447_1,10009538,1,1170337200,1170337860,-88.12,41.88
341,4000447_1,10003162,1,1170338340,1170338700,-88.12,41.86
342,4000447_1,10003219,1,1170339120,1170339360,-88.09,41.86
343,4000447_1,10003241,1,1170339660,1170340080,-88.11,41.86
344,4000447_1,10009538,1,1170340680,1170343140,-88.12,41.88
345,4000447_1,10003181,1,1170343680,1170343740,-88.09,41.86
346,4000447_1,10003247,1,1170344880,1170345480,-88.17,41.84
347,4000447_1,94000447,1,1170345900,1170298740,-88.19,41.82
348,4000447_2,94000447,1,1170298800,1170315600,-88.19,41.82
349,4000447_2,10010368,1,1170316080,1170324000,-88.19,41.79
350,4000447_2,10003128,1,1170325380,1170329280,-88.13,41.84
351,4000447_2,10010368,1,1170330780,1170349440,-88.19,41.79
352,4000447_2,94000447,1,1170349980,1170298740,-88.19,41.82
353,4000458_1,94000458,1,1170298800,1170320400,-87.61,41.89
354,4000458_1,20001807,1,1170320580,1170321600,-87.61,41.89
355,4000458_1,94000458,1,1170321780,1170331200,-87.61,41.89
356,4000458_1,20001910,1,1170331380,1170332280,-87.61,41.89
357,4000458_1,94000458,1,1170332460,1170298740,-87.61,41.89
358,4000458_1,94000458,2,1170385200,1170405000,-87.61,41.89
359,4000458_1,20002016,2,1170405180,1170405900,-87.61,41.89
360,4000458_1,20002050,2,1170413100,1170417600,-87.9,41.97
361,4000458_1,20002080,2,1170430200,1170385140,NA,NA
362,4000458_2,94000458,1,1170298800,1170312000,-87.61,41.89
363,4000458_2,20001308,1,1170313800,1170314100,-87.59,41.7
364,4000458_2,20009976,1,1170314400,1170346500,-87.59,41.66
365,4000458_2,94000458,1,1170348900,1170298740,-87.61,41.89
366,4000458_2,94000458,2,1170385200,1170399300,-87.61,41.89
367,4000458_2,20009976,2,1170400920,1170434340,-87.59,41.66
368,4000458_2,94000458,2,1170436680,1170385140,-87.61,41.89
369,4000467_1,94000467,1,1170298800,1170316500,-87.93,41.97
370,4000467_1,10009552,1,1170317220,1170350160,-87.94,41.95
371,4000467_1,10002945,1,1170350460,1170351780,-87.94,41.95
372,4000467_1,94000467,1,1170352020,1170298740,-87.93,41.97
373,4000467_2,94000467,1,1170298800,1170314100,-87.93,41.97
374,4000467_2,10010370,1,1170315060,1170317460,-87.86,41.96
375,4000467_2,94000467,1,1170318480,1170298740,-87.93,41.97
376,4000520_1,94000520,1,1170298800,1170315000,-87.71,41.85
377,4000520_1,20002628,1,1170316800,1170316920,-87.68,41.87
378,4000520_1,94000520,1,1170318600,1170320400,-87.71,41.85
379,4000520_1,20002663,1,1170322200,1170325800,-87.66,41.72
380,4000520_1,94000520,1,1170327600,1170349200,-87.71,41.85
381,4000520_1,20002624,1,1170351900,1170365400,-87.63,41.9
382,4000520_1,94000520,1,1170367200,1170298740,-87.71,41.85
383,4000520_1,94000520,2,1170385200,1170385140,-87.71,41.85
384,4000520_2,94000520,1,1170298800,1170315000,-87.71,41.85
385,4000520_2,20009571,1,1170316800,1170341100,-87.68,41.87
386,4000520_2,94000520,1,1170343800,1170298740,-87.71,41.85
387,4000520_2,94000520,2,1170385200,1170385140,-87.71,41.85
388,4000523_1,94000523,1,1170298800,1170314100,-87.63,41.9
